# ISU Two Body Reduced Matrix Elements
# Operator = rsq
# Order = LO
# Relevant LECs: None
# Oscillator Energy: 20 MeV
# s = 1, j = 1, t = 0, s' = 1, j' = 1, t' = 0
 ni  li  nf  lf   RME
  0   0   0   0   7.774655e+00
  0   0   2   0   -5.079144e+00
  0   0   4   0   0.000000e+00
  0   0   6   0   0.000000e+00
  0   0   8   0   0.000000e+00
  0   0  10   0   0.000000e+00
  0   0  12   0   0.000000e+00
  0   0  14   0   0.000000e+00
  0   0  16   0   0.000000e+00
  0   0  18   0   0.000000e+00
  0   0  20   0   0.000000e+00
  2   0   0   0   -5.079144e+00
  2   0   2   0   1.606886e+01
  2   0   4   0   -9.273205e+00
  2   0   6   0   0.000000e+00
  2   0   8   0   0.000000e+00
  2   0  10   0   0.000000e+00
  2   0  12   0   0.000000e+00
  2   0  14   0   0.000000e+00
  2   0  16   0   0.000000e+00
  2   0  18   0   0.000000e+00
  2   0  20   0   0.000000e+00
  4   0   0   0   0.000000e+00
  4   0   2   0   -9.273205e+00
  4   0   4   0   2.436307e+01
  4   0   6   0   -1.343815e+01
  4   0   8   0   0.000000e+00
  4   0  10   0   0.000000e+00
  4   0  12   0   0.000000e+00
  4   0  14   0   0.000000e+00
  4   0  16   0   0.000000e+00
  4   0  18   0   0.000000e+00
  4   0  20   0   0.000000e+00
  6   0   0   0   0.000000e+00
  6   0   2   0   0.000000e+00
  6   0   4   0   -1.343815e+01
  6   0   6   0   3.265728e+01
  6   0   8   0   -1.759467e+01
  6   0  10   0   0.000000e+00
  6   0  12   0   0.000000e+00
  6   0  14   0   0.000000e+00
  6   0  16   0   0.000000e+00
  6   0  18   0   0.000000e+00
  6   0  20   0   0.000000e+00
  8   0   0   0   0.000000e+00
  8   0   2   0   0.000000e+00
  8   0   4   0   0.000000e+00
  8   0   6   0   -1.759467e+01
  8   0   8   0   4.095148e+01
  8   0  10   0   -2.174759e+01
  8   0  12   0   0.000000e+00
  8   0  14   0   0.000000e+00
  8   0  16   0   0.000000e+00
  8   0  18   0   0.000000e+00
  8   0  20   0   0.000000e+00
 10   0   0   0   0.000000e+00
 10   0   2   0   0.000000e+00
 10   0   4   0   0.000000e+00
 10   0   6   0   0.000000e+00
 10   0   8   0   -2.174759e+01
 10   0  10   0   4.924569e+01
 10   0  12   0   -2.589865e+01
 10   0  14   0   0.000000e+00
 10   0  16   0   0.000000e+00
 10   0  18   0   0.000000e+00
 10   0  20   0   0.000000e+00
 12   0   0   0   0.000000e+00
 12   0   2   0   0.000000e+00
 12   0   4   0   0.000000e+00
 12   0   6   0   0.000000e+00
 12   0   8   0   0.000000e+00
 12   0  10   0   -2.589865e+01
 12   0  12   0   5.753990e+01
 12   0  14   0   -3.004862e+01
 12   0  16   0   0.000000e+00
 12   0  18   0   0.000000e+00
 12   0  20   0   0.000000e+00
 14   0   0   0   0.000000e+00
 14   0   2   0   0.000000e+00
 14   0   4   0   0.000000e+00
 14   0   6   0   0.000000e+00
 14   0   8   0   0.000000e+00
 14   0  10   0   0.000000e+00
 14   0  12   0   -3.004862e+01
 14   0  14   0   6.583410e+01
 14   0  16   0   -3.419789e+01
 14   0  18   0   0.000000e+00
 14   0  20   0   0.000000e+00
 16   0   0   0   0.000000e+00
 16   0   2   0   0.000000e+00
 16   0   4   0   0.000000e+00
 16   0   6   0   0.000000e+00
 16   0   8   0   0.000000e+00
 16   0  10   0   0.000000e+00
 16   0  12   0   0.000000e+00
 16   0  14   0   -3.419789e+01
 16   0  16   0   7.412831e+01
 16   0  18   0   -3.834669e+01
 16   0  20   0   0.000000e+00
 18   0   0   0   0.000000e+00
 18   0   2   0   0.000000e+00
 18   0   4   0   0.000000e+00
 18   0   6   0   0.000000e+00
 18   0   8   0   0.000000e+00
 18   0  10   0   0.000000e+00
 18   0  12   0   0.000000e+00
 18   0  14   0   0.000000e+00
 18   0  16   0   -3.834669e+01
 18   0  18   0   8.242252e+01
 18   0  20   0   -4.249517e+01
 20   0   0   0   0.000000e+00
 20   0   2   0   0.000000e+00
 20   0   4   0   0.000000e+00
 20   0   6   0   0.000000e+00
 20   0   8   0   0.000000e+00
 20   0  10   0   0.000000e+00
 20   0  12   0   0.000000e+00
 20   0  14   0   0.000000e+00
 20   0  16   0   0.000000e+00
 20   0  18   0   -4.249517e+01
 20   0  20   0   9.071673e+01
  0   0   2   2   -2.271462e+01
  0   0   4   2   0.000000e+00
  0   0   6   2   0.000000e+00
  0   0   8   2   0.000000e+00
  0   0  10   2   0.000000e+00
  0   0  12   2   0.000000e+00
  0   0  14   2   0.000000e+00
  0   0  16   2   0.000000e+00
  0   0  18   2   0.000000e+00
  0   0  20   2   0.000000e+00
  2   0   2   2   3.709282e+01
  2   0   4   2   -3.469716e+01
  2   0   6   2   0.000000e+00
  2   0   8   2   0.000000e+00
  2   0  10   2   0.000000e+00
  2   0  12   2   0.000000e+00
  2   0  14   2   0.000000e+00
  2   0  16   2   0.000000e+00
  2   0  18   2   0.000000e+00
  2   0  20   2   0.000000e+00
  4   0   2   2   -1.658841e+01
  4   0   4   2   6.206816e+01
  4   0   6   2   -4.655112e+01
  4   0   8   2   0.000000e+00
  4   0  10   2   0.000000e+00
  4   0  12   2   0.000000e+00
  4   0  14   2   0.000000e+00
  4   0  16   2   0.000000e+00
  4   0  18   2   0.000000e+00
  4   0  20   2   0.000000e+00
  6   0   2   2   0.000000e+00
  6   0   4   2   -2.873198e+01
  6   0   6   2   8.619593e+01
  6   0   8   2   -5.835492e+01
  6   0  10   2   0.000000e+00
  6   0  12   2   0.000000e+00
  6   0  14   2   0.000000e+00
  6   0  16   2   0.000000e+00
  6   0  18   2   0.000000e+00
  6   0  20   2   0.000000e+00
  8   0   2   2   0.000000e+00
  8   0   4   2   0.000000e+00
  8   0   6   2   -4.063315e+01
  8   0   8   2   1.100351e+02
  8   0  10   2   -7.013388e+01
  8   0  12   2   0.000000e+00
  8   0  14   2   0.000000e+00
  8   0  16   2   0.000000e+00
  8   0  18   2   0.000000e+00
  8   0  20   2   0.000000e+00
 10   0   2   2   0.000000e+00
 10   0   4   2   0.000000e+00
 10   0   6   2   0.000000e+00
 10   0   8   2   -5.245717e+01
 10   0  10   2   1.337401e+02
 10   0  12   2   -8.189873e+01
 10   0  14   2   0.000000e+00
 10   0  16   2   0.000000e+00
 10   0  18   2   0.000000e+00
 10   0  20   2   0.000000e+00
 12   0   2   2   0.000000e+00
 12   0   4   2   0.000000e+00
 12   0   6   2   0.000000e+00
 12   0   8   2   0.000000e+00
 12   0  10   2   -6.424665e+01
 12   0  12   2   1.573715e+02
 12   0  14   2   -9.365478e+01
 12   0  16   2   0.000000e+00
 12   0  18   2   0.000000e+00
 12   0  20   2   0.000000e+00
 14   0   2   2   0.000000e+00
 14   0   4   2   0.000000e+00
 14   0   6   2   0.000000e+00
 14   0   8   2   0.000000e+00
 14   0  10   2   0.000000e+00
 14   0  12   2   -7.601766e+01
 14   0  14   2   1.809582e+02
 14   0  16   2   -1.054050e+02
 14   0  18   2   0.000000e+00
 14   0  20   2   0.000000e+00
 16   0   2   2   0.000000e+00
 16   0   4   2   0.000000e+00
 16   0   6   2   0.000000e+00
 16   0   8   2   0.000000e+00
 16   0  10   2   0.000000e+00
 16   0  12   2   0.000000e+00
 16   0  14   2   -8.777764e+01
 16   0  16   2   2.045157e+02
 16   0  18   2   -1.171511e+02
 16   0  20   2   0.000000e+00
 18   0   2   2   0.000000e+00
 18   0   4   2   0.000000e+00
 18   0   6   2   0.000000e+00
 18   0   8   2   0.000000e+00
 18   0  10   2   0.000000e+00
 18   0  12   2   0.000000e+00
 18   0  14   2   0.000000e+00
 18   0  16   2   -9.953048e+01
 18   0  18   2   2.280530e+02
 18   0  20   2   -1.288942e+02
 20   0   2   2   0.000000e+00
 20   0   4   2   0.000000e+00
 20   0   6   2   0.000000e+00
 20   0   8   2   0.000000e+00
 20   0  10   2   0.000000e+00
 20   0  12   2   0.000000e+00
 20   0  14   2   0.000000e+00
 20   0  16   2   0.000000e+00
 20   0  18   2   -1.112785e+02
 20   0  20   2   2.515758e+02
  2   2   0   0   0.000000e+00
  2   2   2   0   0.000000e+00
  2   2   4   0   0.000000e+00
  2   2   6   0   0.000000e+00
  2   2   8   0   0.000000e+00
  2   2  10   0   0.000000e+00
  2   2  12   0   0.000000e+00
  2   2  14   0   0.000000e+00
  2   2  16   0   0.000000e+00
  2   2  18   0   0.000000e+00
  2   2  20   0   0.000000e+00
  4   2   0   0   0.000000e+00
  4   2   2   0   0.000000e+00
  4   2   4   0   0.000000e+00
  4   2   6   0   0.000000e+00
  4   2   8   0   0.000000e+00
  4   2  10   0   0.000000e+00
  4   2  12   0   0.000000e+00
  4   2  14   0   0.000000e+00
  4   2  16   0   0.000000e+00
  4   2  18   0   0.000000e+00
  4   2  20   0   0.000000e+00
  6   2   0   0   0.000000e+00
  6   2   2   0   0.000000e+00
  6   2   4   0   0.000000e+00
  6   2   6   0   0.000000e+00
  6   2   8   0   0.000000e+00
  6   2  10   0   0.000000e+00
  6   2  12   0   0.000000e+00
  6   2  14   0   0.000000e+00
  6   2  16   0   0.000000e+00
  6   2  18   0   0.000000e+00
  6   2  20   0   0.000000e+00
  8   2   0   0   0.000000e+00
  8   2   2   0   0.000000e+00
  8   2   4   0   0.000000e+00
  8   2   6   0   0.000000e+00
  8   2   8   0   0.000000e+00
  8   2  10   0   0.000000e+00
  8   2  12   0   0.000000e+00
  8   2  14   0   0.000000e+00
  8   2  16   0   0.000000e+00
  8   2  18   0   0.000000e+00
  8   2  20   0   0.000000e+00
 10   2   0   0   0.000000e+00
 10   2   2   0   0.000000e+00
 10   2   4   0   0.000000e+00
 10   2   6   0   0.000000e+00
 10   2   8   0   0.000000e+00
 10   2  10   0   0.000000e+00
 10   2  12   0   0.000000e+00
 10   2  14   0   0.000000e+00
 10   2  16   0   0.000000e+00
 10   2  18   0   0.000000e+00
 10   2  20   0   0.000000e+00
 12   2   0   0   0.000000e+00
 12   2   2   0   0.000000e+00
 12   2   4   0   0.000000e+00
 12   2   6   0   0.000000e+00
 12   2   8   0   0.000000e+00
 12   2  10   0   0.000000e+00
 12   2  12   0   0.000000e+00
 12   2  14   0   0.000000e+00
 12   2  16   0   0.000000e+00
 12   2  18   0   0.000000e+00
 12   2  20   0   0.000000e+00
 14   2   0   0   0.000000e+00
 14   2   2   0   0.000000e+00
 14   2   4   0   0.000000e+00
 14   2   6   0   0.000000e+00
 14   2   8   0   0.000000e+00
 14   2  10   0   0.000000e+00
 14   2  12   0   0.000000e+00
