ISU Two-body matrix elements
Operator: Toy
Relevant constants: None
Quantum numbers: s' = 1, j' = 1, t' = 0, s = 1, j = 1, t = 0
nmax = 200, lmax = 2, NMAX = 10, LMAX = 0
N	L	n	l	Np	Lp	np	lp	Matrix Element
0	0	0	0	0	0	0	0	2.179587
0	0	1	0	0	0	1	0	2.269381
0	0	2	0	0	0	2	0	2.336726
0	0	3	0	0	0	3	0	2.392847
0	0	4	0	0	0	4	0	2.441953
0	0	5	0	0	0	5	0	2.486148
0	0	6	0	0	0	6	0	2.526660
0	0	7	0	0	0	7	0	2.564279
0	0	8	0	0	0	8	0	2.599546
0	0	9	0	0	0	9	0	2.632854
0	0	10	0	0	0	10	0	2.664497
0	0	11	0	0	0	11	0	2.694702
0	0	12	0	0	0	12	0	2.723647
0	0	13	0	0	0	13	0	2.751480
0	0	14	0	0	0	14	0	2.778319
0	0	15	0	0	0	15	0	2.804263
0	0	16	0	0	0	16	0	2.829396
0	0	17	0	0	0	17	0	2.853790
0	0	18	0	0	0	18	0	2.877506
0	0	19	0	0	0	19	0	2.900598
0	0	20	0	0	0	20	0	2.923113
0	0	21	0	0	0	21	0	2.945092
0	0	22	0	0	0	22	0	2.966572
0	0	23	0	0	0	23	0	2.987584
0	0	24	0	0	0	24	0	3.008159
0	0	25	0	0	0	25	0	3.028322
0	0	26	0	0	0	26	0	3.048097
0	0	27	0	0	0	27	0	3.067507
0	0	28	0	0	0	28	0	3.086569
0	0	29	0	0	0	29	0	3.105303
0	0	30	0	0	0	30	0	3.123725
0	0	31	0	0	0	31	0	3.141849
0	0	32	0	0	0	32	0	3.159691
0	0	33	0	0	0	33	0	3.177262
0	0	34	0	0	0	34	0	3.194575
0	0	35	0	0	0	35	0	3.211640
0	0	36	0	0	0	36	0	3.228468
0	0	37	0	0	0	37	0	3.245069
0	0	38	0	0	0	38	0	3.261452
0	0	39	0	0	0	39	0	3.277624
0	0	40	0	0	0	40	0	3.293594
0	0	41	0	0	0	41	0	3.309370
0	0	42	0	0	0	42	0	3.324958
0	0	43	0	0	0	43	0	3.340364
0	0	44	0	0	0	44	0	3.355596
0	0	45	0	0	0	45	0	3.370658
0	0	46	0	0	0	46	0	3.385556
0	0	47	0	0	0	47	0	3.400296
0	0	48	0	0	0	48	0	3.414883
0	0	49	0	0	0	49	0	3.429320
0	0	50	0	0	0	50	0	3.443613
0	0	51	0	0	0	51	0	3.457766
0	0	52	0	0	0	52	0	3.471783
0	0	53	0	0	0	53	0	3.485668
0	0	54	0	0	0	54	0	3.499424
0	0	55	0	0	0	55	0	3.513056
0	0	56	0	0	0	56	0	3.526565
0	0	57	0	0	0	57	0	3.539956
0	0	58	0	0	0	58	0	3.553231
0	0	59	0	0	0	59	0	3.566394
0	0	60	0	0	0	60	0	3.579448
